TX_AMOUNT,IS_FRAUD,SENDER_INIT_BALANCE,RECEIVER_INIT_BALANCE,HOUR,DAY_OF_WEEK,AMOUNT_TO_SENDER_BALANCE_RATIO,SENDER_BALANCE_AFTER_TX
162.07,FALSE,162.07,320.71,14,2,0.993867664,0
141.02,FALSE,141.02,353.03,18,6,0.992958738,0
18.29,TRUE,512.53,241.41,23,5,0.035616225,494.24
142.55,FALSE,142.55,239.21,0,2,0.993033786,0
479.92,FALSE,479.92,118.63,21,4,0.997920652,0
159.9072521,FALSE,139.1512038,149.4861961,0,5,0.403308109,0.01
234.9501836,FALSE,163.8829993,84.49337864,1,5,0.398547777,0
28.1,FALSE,168.64,220.61,1,0,0.165644895,140.54
108.12,FALSE,108.12,526.67,2,4,0.990835777,0
5.34,FALSE,107,257.94,1,1,0.049444444,101.66
14.96,TRUE,322.78,363.38,23,6,0.046204213,307.82
476.86,FALSE,476.87,132.48,16,5,0.997886454,0.01
437.2,FALSE,437.2,350.1,1,5,0.997717937,0
12,FALSE,144.03,561.48,5,5,0.082741502,132.03
156.53,FALSE,156.54,189.11,13,1,0.99358893,0.01
8.84,FALSE,185.74,179.8,5,4,0.047338546,176.9
13.76,FALSE,192.67,211.49,18,5,0.071048691,178.91
149.53,FALSE,149.54,324.95,18,0,0.99329082,0.01
2.75,TRUE,368.6,151.78,13,6,0.007440476,365.85
159.0703166,FALSE,134.6551775,72.74101213,4,6,0.572171549,0.01
235.8841267,FALSE,61.83169146,115.5775301,1,5,0.531830595,0.01
130.13,FALSE,130.14,372.95,20,6,0.992298307,0.01
464.01,FALSE,464.01,367.93,8,2,0.997849509,0
166.69,FALSE,166.7,383.22,22,0,0.99397734,0.01
3.3,TRUE,377.29,120.25,10,3,0.008723466,373.99
6.19,FALSE,123.97,301.94,5,3,0.049531888,117.78
4.67,TRUE,272.6,202.25,6,3,0.017068713,267.93
521,FALSE,521,369.9,20,4,0.998084291,0
19.47,TRUE,271.78,197.6,22,3,0.071376201,252.31
160.66,FALSE,160.66,134.87,12,2,0.993814178,0
511.23,FALSE,511.23,195.93,7,3,0.998047752,0
270.5051252,FALSE,56.64728467,121.3243484,2,6,0.491398992,0
486.92,FALSE,486.93,502.23,13,6,0.997930031,0.01
6.22,FALSE,130.7,171.62,16,2,0.04722855,124.48
262.9355345,FALSE,131.5017466,94.01996847,22,6,0.47769671,0.01
10.96,FALSE,109.69,159.26,0,4,0.099015268,98.73
494.17,FALSE,494.17,448.74,12,5,0.997980492,0
566.58,FALSE,566.58,100.76,5,0,0.998238134,0
118.95,FALSE,118.96,474.27,13,2,0.991580527,0.01
181.96,FALSE,181.96,271.78,11,0,0.994534324,0
160.72,FALSE,160.72,350.2,19,0,0.993816473,0
472.48,FALSE,472.49,476.87,18,4,0.997866903,0.01
22.84,FALSE,159.91,132.78,0,4,0.141942701,137.07
442.41,FALSE,442.41,360.18,0,1,0.997744751,0
178.19,FALSE,178.19,228.92,15,4,0.994419331,0
108.41,FALSE,108.41,324.7,5,5,0.990860068,0
228.8225394,FALSE,111.428571,98.21964944,1,6,0.543864351,0
122.3,FALSE,122.31,163.94,2,4,0.991809261,0.01
16.45,TRUE,256.42,208.68,19,5,0.063903349,239.97
25.21,FALSE,126.1,271.58,16,3,0.198347758,100.89
166.547528,FALSE,157.7948743,77.47475437,0,5,0.410883438,148.77
7.57,FALSE,151.55,363.72,6,3,0.049623074,143.98
132327.67,FALSE,347.37,534.81,7,2,379.8480638,-131980.3
196.19,FALSE,196.19,274.73,21,1,0.994928749,0
13.43,TRUE,166.03,126.61,16,0,0.080404718,152.6
414.64,FALSE,414.64,284.87,2,1,0.997594072,0
424.2,FALSE,424.2,486.93,15,1,0.997648166,0
486.66,FALSE,486.66,546.78,10,2,0.997949391,0
163.99,FALSE,163.99,514.98,5,0,0.993939027,0
384.17,FALSE,384.17,176.43,10,5,0.997403744,0
178.03,FALSE,178.04,110.44,20,4,0.994358803,0.01
169.41,FALSE,169.41,548.21,14,3,0.9941318,0
521.25,FALSE,521.25,252.12,16,3,0.998085208,0
31.59,FALSE,189.58,110.2,11,1,0.165757162,157.99
13.1,TRUE,568.54,366.13,22,6,0.023001018,555.44
22.2,FALSE,111.01,465.19,1,1,0.19819659,88.81
577.65,FALSE,577.66,383.24,13,1,0.998254588,0.01
171.25,FALSE,171.26,353.62,16,5,0.99413677,0.01
19,TRUE,118.92,297.29,8,2,0.158438959,99.92
227.3181967,FALSE,55.13800283,84.27116419,3,5,0.482564369,0
514.46,FALSE,514.47,183.28,14,0,0.998040623,0.01
8.22,FALSE,115.11,254.06,18,3,0.070794936,106.89
553.38,FALSE,553.38,208.99,3,4,0.998196183,0
30.24,FALSE,181.49,310.08,17,4,0.16570771,151.25
15.86,TRUE,344.98,471.66,0,0,0.0458408,329.12
114.15,FALSE,114.15,504.42,9,2,0.991315675,0
14.48,FALSE,188.3,157.4,16,4,0.07649234,173.82
271.16,FALSE,271.16,150.11,18,6,0.996325691,0
32.51,FALSE,162.56,285.94,6,3,0.198764979,130.05
432.05,FALSE,432.06,545.56,22,1,0.99766776,0.01
404.77,FALSE,404.78,149.43,6,6,0.997510967,0.01
24.74,FALSE,173.2,325.28,22,5,0.142020666,148.46
14.96,TRUE,320.76,236.88,16,1,0.046494281,305.8
14.17,TRUE,109.31,104.37,23,1,0.128456169,95.14
14.22,TRUE,252.49,253.82,3,2,0.056096887,238.27
506.72,FALSE,506.72,388.57,18,3,0.99803041,0
8.57,FALSE,102.94,174.18,19,1,0.082451414,94.37
528.66,FALSE,528.67,470.83,18,2,0.998093152,0.01
3.51,TRUE,306.84,385.88,12,5,0.011402027,303.33
168.0604796,FALSE,96.82710744,77.33793712,0,5,0.381005354,158.11
262.010492,FALSE,99.85569482,66.94927751,4,5,0.314523074,103.4
11.93,TRUE,215.6,235.83,17,6,0.055078486,203.67
2579204.25,FALSE,280.27,252.88,13,0,9169.851922,-2578923.98
553.07,FALSE,553.07,129.03,18,3,0.998195174,0
182.0113061,FALSE,62.88011488,129.067138,22,6,0.359570465,113.78
188.24,FALSE,188.24,450.4,13,1,0.994715705,0
63.27,FALSE,189.82,363.96,15,6,0.331569018,126.55
7.53,FALSE,165.76,463.18,7,0,0.045154713,158.23
18.31,FALSE,164.86,149.66,14,1,0.110394308,146.55
178.86,FALSE,178.87,137.05,4,3,0.994384833,0.01
172.39,FALSE,172.4,392.66,23,3,0.994175317,0.01
376.76,FALSE,376.77,150.53,6,2,0.997326416,0.01
518.9,FALSE,518.9,490.27,13,3,0.998076553,0
450.55,FALSE,450.56,574.03,5,6,0.997763309,0.01
130.41,FALSE,130.41,255.46,3,4,0.992390229,0
149.02,FALSE,149.03,134.4,10,5,0.993268013,0.01
572.4,FALSE,572.41,217.26,0,3,0.998238608,0.01
13.55,FALSE,162.6,326.69,6,3,0.082823961,149.05
127.41,FALSE,127.42,215.48,12,5,0.992135181,0.01
15.34,FALSE,138.13,536.82,14,6,0.110256595,122.79
571.48,FALSE,571.49,545.23,0,0,0.998235777,0.01
183.74,FALSE,183.74,347.18,1,1,0.994586987,0
278.6510761,FALSE,63.60006626,88.63058498,3,6,0.533965186,0.01
411.57,FALSE,411.57,487.16,4,4,0.997576169,0
553.77,FALSE,553.77,297.84,19,4,0.998197451,0
165.66,FALSE,165.66,320.88,17,0,0.99399976,0
11.3,TRUE,146.97,145.96,13,1,0.076366831,135.67
448.07,FALSE,448.08,225.92,22,3,0.997750958,0.01
481.82,FALSE,481.83,338.9,16,1,0.997908166,0.01
187.67,FALSE,187.68,366.85,5,4,0.994647021,0.01
102.12,FALSE,102.13,230.36,2,5,0.990206535,0.01
112.98,FALSE,112.98,173.23,23,1,0.991226531,0
114.91,FALSE,114.91,497.74,7,3,0.991372617,0
7.27,FALSE,167.21,202.02,11,4,0.043219785,159.94
163.24,FALSE,163.24,105.37,19,5,0.993911349,0
18.98,FALSE,189.89,400.9,13,6,0.099428991,170.91
115.29,FALSE,115.29,156.76,5,5,0.991400808,0
513.17,FALSE,513.18,344.47,4,0,0.998035707,0.01
218.4786911,FALSE,85.00324609,52.17224354,4,6,0.512761613,0.01
21.01,FALSE,147.09,146.24,8,1,0.141873185,126.08
17.62,TRUE,370.55,527.53,23,3,0.047422958,352.93
4.82,TRUE,519.35,308.82,15,4,0.009262996,514.53
518.54,FALSE,518.55,111.5,0,4,0.99805601,0.01
539.21,FALSE,539.21,353.92,1,0,0.998148868,0
168.92,FALSE,168.93,102.61,13,3,0.994056376,0.01
128.33,FALSE,128.34,292.85,4,0,0.992191124,0.01
4.41,TRUE,346.88,283.9,19,6,0.012676785,342.47
191.35,FALSE,191.35,554.83,14,0,0.994801144,0
225.91,FALSE,225.92,152.28,4,3,0.995549092,0.01
176.19,FALSE,176.2,397.69,2,2,0.994300226,0.01
563.88,FALSE,563.88,142.24,9,2,0.998229713,0
159.3045244,FALSE,107.8366155,78.40446294,3,6,0.531894824,0.01
178.2311449,FALSE,184.0824467,60.06203105,3,5,0.586445151,0.01
119.411577,FALSE,84.33516329,91.46487962,3,5,0.339769432,0.01
265.2740966,FALSE,149.1973672,62.63241081,0,6,0.480982094,0
167.33,FALSE,167.33,415.58,4,4,0.994059288,0
133.36,FALSE,133.37,399.59,7,4,0.992483441,0.01
15.18,FALSE,182.24,261.66,4,4,0.082842174,167.06
11.26,FALSE,101.36,394.81,6,5,0.110003908,90.1
211.9006826,FALSE,105.90474,113.7900984,22,5,0.428748291,-194654.9
177.1541405,FALSE,155.1139084,105.8070851,3,5,0.488456785,104.91
473.57,FALSE,473.58,355.33,2,2,0.997871802,0.01
431.27,FALSE,431.28,206.86,16,6,0.997663551,0.01
17.76,FALSE,177.69,388.72,1,4,0.099390005,159.93
136.19,FALSE,136.2,103.94,2,0,0.992638484,0.01
200.97,FALSE,200.98,566.58,12,2,0.994999505,0.01
380.95,FALSE,380.95,243.51,6,5,0.997381856,0
564.59,FALSE,564.6,528.09,5,3,0.998214286,0.01
367.32,FALSE,367.32,302.79,2,1,0.99728497,0
253.0816512,FALSE,172.8705105,65.59975413,3,5,0.561510244,0
13.92,FALSE,139.27,240.46,6,0,0.099237185,125.35
509.32,FALSE,509.32,311.5,14,4,0.998040445,0
13.43,TRUE,126.61,142.4,9,0,0.105242536,113.18
13.47,TRUE,194.26,428.8,14,3,0.068984943,180.79
7.32,FALSE,153.83,415.37,5,1,0.047277659,146.51
12.25,TRUE,151.09,305.22,2,1,0.080544414,138.84
23.76,FALSE,166.32,568.54,8,5,0.142003347,142.56
270.8519264,FALSE,115.7817109,93.03357945,1,5,0.574551423,134.4
9.074318847,TRUE,699.6374901,856.5918628,16,2,0.018506906,243.59
50.28,FALSE,150.86,120.75,3,3,0.331094429,100.58
14.19,FALSE,198.74,342.15,5,1,0.071042355,184.55
110.55,FALSE,110.55,248.1,5,0,0.99103541,0
178.52,FALSE,178.52,111.07,7,3,0.99442959,0
195.19,FALSE,195.19,201.61,1,5,0.9949029,0
24.56,FALSE,122.83,315.34,13,5,0.198336429,98.27
109.98,FALSE,109.99,341.71,22,3,0.990900081,0.01
142.78,FALSE,142.79,348.26,18,5,0.992975868,0.01
14.43,FALSE,144.35,256.57,1,3,0.099277606,129.92
450.39,FALSE,450.4,188.24,9,2,0.997762517,0.01
6.03,FALSE,126.77,321.8,3,1,0.047194177,120.74
183.69,FALSE,183.69,104.98,13,4,0.994585522,0
178.64,FALSE,178.65,108.85,5,1,0.994377957,0.01
223.3843658,FALSE,147.0100168,52.01954102,2,5,0.458667571,0
535.13,FALSE,535.13,402.97,11,0,0.998134781,0
7.25,FALSE,101.63,195.6,23,0,0.070642112,94.38
159.42,FALSE,159.43,150.34,23,3,0.993704419,0.01
494.55,FALSE,494.56,318.46,5,6,0.997961902,0.01
14.41,FALSE,144.12,292.92,5,0,0.099297133,129.71
134.69,FALSE,134.7,388.31,20,5,0.992557111,0.01
11.43,TRUE,575.42,105.93,14,0,0.019829291,563.99
7.475361464,TRUE,1331.361634,599.4489044,16,3,0.005334873,94.88
312.76,FALSE,312.76,347.6,23,5,0.996812851,0
147.99,FALSE,147.99,137.43,5,6,0.99328814,0
141.8359697,FALSE,144.012227,60.50800139,22,5,0.362885513,135.65
168.33,FALSE,168.33,204.56,5,3,0.994094372,0
2.95,TRUE,273.13,126.1,1,6,0.010761318,270.18
460.83,FALSE,460.84,201.56,2,1,0.997813095,0.01
113.79,FALSE,113.79,126.41,2,1,0.99128844,0
277.4965928,FALSE,195.4294116,139.7274129,3,5,0.312304636,0
17.77,FALSE,195.52,120.7,8,5,0.090423367,177.75
4.36,TRUE,381.16,131.8,0,2,0.011408834,376.8
145.0447635,FALSE,58.5871474,79.29139901,0,5,0.564031054,0.01
122.94,FALSE,122.95,228.9,21,2,0.991851553,0.01
490.69,FALSE,490.69,545.62,15,6,0.997966198,0
168.61,FALSE,168.62,285.5,3,5,0.994045514,0.01
155.24,FALSE,155.24,342.38,9,4,0.99359959,0
448.92,FALSE,448.92,274.33,20,0,0.997777383,0
158.47,FALSE,158.47,309.73,16,3,0.993729228,0
13.35,FALSE,133.55,170.5,23,4,0.099219621,120.2
189.5761645,FALSE,129.1546942,64.87952985,2,6,0.436834475,0
460.11,FALSE,460.12,105.8,3,1,0.997809681,0.01
474.57,FALSE,474.58,103.8,13,2,0.997876277,0.01
507.14,FALSE,507.14,100.67,16,6,0.998032038,0
17.61,FALSE,158.57,282.1,1,3,0.11035909,140.96
101.19,FALSE,101.19,502.23,0,5,0.990214307,0
245.8769102,FALSE,162.81357,67.87041381,23,5,0.557257616,0.01
222.2828223,FALSE,170.6525301,142.1700619,0,5,0.592652276,0
595.54,FALSE,595.55,240.49,13,2,0.998306932,0.01
8.93,FALSE,178.78,288.44,22,2,0.049671821,169.85
15.18,FALSE,182.24,469.74,9,0,0.082842174,167.06
11.54,FALSE,173.17,246.02,23,5,0.066257105,161.63
246.5155485,FALSE,84.87876824,98.04143062,4,6,0.41484235,0.01
122.3551278,FALSE,127.6464209,141.7095937,4,6,0.311712253,0
480.51,FALSE,480.51,234.87,21,4,0.9979232,0
552.15,FALSE,552.15,478.3,0,5,0.998192172,0
115.7800925,FALSE,186.8569748,115.9376312,23,6,0.472130924,0.01
192.33,FALSE,192.33,429.35,17,2,0.994827497,0
264.0252505,FALSE,80.07985547,149.3437569,22,6,0.512763053,126.04
134.9540311,FALSE,93.05578297,87.35832082,23,5,0.552450122,0.01
437.39,FALSE,437.4,483.96,6,3,0.997696168,0.01
10.43,FALSE,146.09,368.23,7,5,0.070908967,135.66
8.72,FALSE,183.2,358.49,12,4,0.047339848,174.48
149.86,FALSE,149.87,268.27,5,1,0.993305495,0.01
137.3,FALSE,137.3,201.61,1,3,0.992769342,0
507.17,FALSE,507.17,288.53,7,5,0.998032155,0
147.5,FALSE,147.5,100.6,15,3,0.993265993,0
17.51,FALSE,192.7,144.19,19,5,0.090397522,175.19
567.71,FALSE,567.72,240.55,17,3,0.998224082,0.01
184.27,FALSE,184.27,578.56,12,5,0.994602472,0
257.6785285,FALSE,143.9434079,92.93104141,2,5,0.597519289,0.01
535.7,FALSE,535.7,128.83,2,2,0.998136762,0
189.5303445,FALSE,76.41160763,57.23359861,4,5,0.350421651,0.01
308.51,FALSE,308.52,249.46,20,1,0.996736883,0.01
165.25,FALSE,165.25,111.67,12,6,0.993984962,0
533.16,FALSE,533.17,385.05,3,6,0.998109216,0.01
15.06,FALSE,195.81,512.82,7,0,0.076520502,180.75
16.85,FALSE,168.5,107.75,15,5,0.099410029,151.65
503.85,FALSE,503.85,257.3,3,5,0.998019214,0
7.81,FALSE,109.41,240.73,6,6,0.070736346,101.6
15.85,FALSE,111.01,225.92,19,1,0.141505223,95.16
197.6,FALSE,197.6,108.32,7,4,0.994964753,0
111.47,FALSE,111.47,344.98,18,4,0.99110874,0
9.6,FALSE,192.02,330.8,17,4,0.049735779,182.42
171.58,FALSE,171.59,109.95,10,5,0.994147981,0.01
103.16,FALSE,103.16,253.64,6,6,0.990399386,0
480.91,FALSE,480.91,461.39,7,6,0.997924924,0
188.27,FALSE,188.27,115.52,16,2,0.994716543,0
206,FALSE,206.01,124.41,17,4,0.995121009,0.01
116.3,FALSE,116.31,119.45,12,4,0.991390333,0.01
226.3229354,FALSE,67.84100086,63.97381442,3,6,0.416864804,125.13
506.94,FALSE,506.94,307.29,15,2,0.998031264,0
179.33,FALSE,179.34,432.2,15,6,0.994399468,0.01
32.59,FALSE,195.57,289.04,3,0,0.165793356,162.98
161.86,FALSE,161.86,157.72,16,5,0.993859757,0
19.62,TRUE,397.56,350.18,22,1,0.049227218,377.94
369.89,FALSE,369.9,368.64,20,6,0.997276894,0.01
16.98,FALSE,169.82,277.26,17,1,0.09940288,152.84
420.66,FALSE,420.66,107.69,22,1,0.997628421,0
4.39,TRUE,176.67,200.76,10,3,0.02470873,172.28
17.05,FALSE,153.51,294.62,23,2,0.110348845,136.46
133.83,FALSE,133.83,281.95,4,3,0.992583253,0
226.8381477,FALSE,173.7375863,149.5814546,22,6,0.523617315,168.77
168.05,FALSE,168.06,112.82,15,1,0.99402579,0.01
579.96,FALSE,579.97,105.85,11,4,0.998261528,0.01
102.51,FALSE,102.52,395.25,18,2,0.990243431,0.01
6.47,FALSE,142.47,375.07,18,4,0.045096536,136
14.81,TRUE,177.73,358.15,18,1,0.082862418,162.92
505.61,FALSE,505.62,598.11,15,1,0.998006395,0.01
18.71,FALSE,130.97,274.33,11,1,0.141774646,112.26
399.14,FALSE,399.14,383.22,19,0,0.997500875,0
13.71,FALSE,137.16,362.69,20,1,0.099232774,123.45
139.69,FALSE,139.7,102.52,0,4,0.992821606,0.01
546.53,FALSE,546.53,105.8,16,5,0.998173616,0
12.61,FALSE,100.93,450.65,19,1,0.123712352,88.32
3.43,TRUE,358.68,132.55,9,1,0.009536254,355.25
16.88,TRUE,309.58,373.92,13,2,0.054349926,292.7
136.66,FALSE,136.66,465.19,14,5,0.992735726,0
13.79,FALSE,193.17,124.06,5,4,0.07102024,179.38
107.1915412,FALSE,114.3609332,118.1286159,23,6,0.526587136,0.01
137.05,FALSE,137.05,123.47,18,2,0.992756248,0
23.42,FALSE,163.94,196.3,15,5,0.141991027,140.52
596.83,FALSE,596.83,199.55,15,2,0.998327284,0
198.9458815,FALSE,187.5163417,137.058121,23,6,0.421305975,158.17
18.98,TRUE,178.69,118.96,22,6,0.105626357,159.71
6.8,FALSE,136.06,506.99,21,3,0.049613308,129.26
18.68,FALSE,168.16,468.88,21,1,0.110427997,149.48
8.23,FALSE,164.73,382.05,19,4,0.049659084,156.5
229.6212977,FALSE,86.83266094,146.90077,3,6,0.408683737,0
140.49,FALSE,140.49,193.11,23,1,0.992932363,0
16.44,TRUE,367.54,195.81,4,0,0.044608455,351.1
182.2976313,FALSE,132.7983873,108.241905,4,5,0.574727671,0
8.87,FALSE,186.37,529.3,9,6,0.047339489,177.5
8.31,FALSE,116.44,132.79,8,0,0.070759537,108.13
315.26,FALSE,315.27,501.52,15,1,0.996806526,0.01
112.91,FALSE,112.92,373.05,20,6,0.991134129,0.01
111.58,FALSE,111.59,213.42,1,0,0.991029399,0.01
365.57,FALSE,365.58,308.82,8,2,0.997244803,0.01
5.89,FALSE,117.95,160.83,4,3,0.049516604,112.06
178.69,FALSE,178.69,561.02,8,6,0.99443486,0
529.21,FALSE,529.22,391.32,22,5,0.99809513,0.01
188.24,FALSE,188.24,131.82,5,6,0.994715705,0
476.38,FALSE,476.38,213.74,5,5,0.997905233,0
172.47,FALSE,172.47,477.26,0,0,0.994235314,0
553.03,FALSE,553.04,370.92,22,5,0.998177027,0.01
16.9,FALSE,169.09,115.29,21,0,0.099359163,152.19
420.51,FALSE,420.52,318.46,18,1,0.99760391,0.01
3.97,TRUE,231.37,145.87,19,2,0.017084822,227.4
18.79,FALSE,131.56,310.73,8,4,0.141747133,112.77
273.2922983,FALSE,126.0313355,68.85480794,2,5,0.504458734,0
5.42,FALSE,124.85,111.34,22,5,0.043067143,119.43
130.97,FALSE,130.98,135.2,21,5,0.992347325,0.01
31.89,FALSE,191.36,565.39,21,5,0.165782907,159.47
151.4980394,FALSE,104.9748073,57.14808295,23,6,0.552877383,0.01
16.85,TRUE,333.37,501.53,13,4,0.050393277,316.52
291.2057196,FALSE,121.9571868,89.27308424,1,6,0.557370936,0.01
583.02,FALSE,583.02,466.54,17,1,0.99828773,0
13.56,TRUE,402.74,367.54,15,0,0.033585971,389.18
588.85,FALSE,588.86,342.91,23,6,0.998287729,0.01
197.52,FALSE,197.52,122.05,8,0,0.994962724,0
9.433218049,TRUE,1460.305423,931.7199488,11,2,0.018071725,574.5
3.85,TRUE,344.58,337.73,6,3,0.011140691,340.73
113.7311673,FALSE,147.070718,51.13222912,1,6,0.397121499,0
172.69,FALSE,172.7,243.82,4,5,0.994185377,0.01
322.67,FALSE,322.67,208.29,7,0,0.996910433,0
190.5,FALSE,190.5,307.28,9,4,0.994778068,0
8.54,FALSE,119.65,164.21,4,4,0.070783257,111.11
576.26,FALSE,576.26,491.58,10,6,0.998267678,0
5.82,FALSE,122.23,376.77,11,0,0.047228759,116.41
10.45,FALSE,156.78,572.81,1,1,0.066231462,146.33
5.15,FALSE,108.34,177.08,6,0,0.047100787,103.19
354.17,FALSE,354.17,222.74,19,4,0.997184447,0
64.56,FALSE,193.7,158.26,6,5,0.331587057,129.14
15.92,FALSE,159.23,160.96,5,1,0.099357174,143.31
181.86,FALSE,181.86,184.31,8,1,0.994531335,0
23.67,FALSE,165.71,176.72,20,0,0.141983084,142.04
523.79,FALSE,523.8,356.47,20,0,0.998075457,0.01
364.14,FALSE,364.14,383.22,16,3,0.997261324,0
189.02,FALSE,189.03,317.18,17,5,0.99468505,0.01
35.5,FALSE,177.54,386.71,3,3,0.198834995,142.04
111.1205149,FALSE,153.1582999,86.1523966,3,6,0.387751532,0.01
17.8,FALSE,142.42,144.09,11,3,0.124111003,124.62
490.51,FALSE,490.52,364.89,13,5,0.99794515,0.01
190.61,FALSE,190.61,315.27,0,1,0.994781066,0
230.4324802,FALSE,196.2189452,145.2723653,0,6,0.378633271,0
476.67,FALSE,476.68,483.96,23,3,0.997885614,0.01
